RAZAO;INFORMAL;RAMOATIVID;TIPOEMP;UNIDADE;TEL1;TELC2;FAX;NCHECKOUT;ENDEMP;BAIRROEMP;CEP;CIDADEEMP;UFEMP;Origem 
Comercial Creso e Camilo Ltda;SAO JOAO;Varejo Alimenticio;Matriz;;35-422-2056;;;0;R Francisco Masafera, 169;;37550-000;Pouso Alegre;MG;MKR
Unilever Bestfoods Ltda;UNILEVER;Industria Alimentícia;Matriz;;35-3449-1315;;35-3449-1315;0;Av Pref Olavo G de Oliveira, 3701;Jd Marioza;37550-000;Pouso Alegre;MG;MKR
Supermercado Shimoda Ltda;SM SHIMODA;Varejo Alimenticio;Matriz;Monte SiÒo;35-3465-1300;;;7;Av Brasil, 205;Centro;37580-000;Monte Siao;MG;MKR
Comercial Ferreira Santos S/A;COFESA;Varejo Alimenticio;Filial;13;35  435-8000;;;0;Rod 381 Fernao Dias Km 876;Pessegueiros;37640-000;Extrema;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;34;35-3722-2525;;35-3722-2525;16;R Assis Figueiredo, 1370;Centro;37701-000;Pocos de Caldas;MG;MKR
Danone Ltda;DANONE;Industria Alimentícia;Matriz;;35-3729-7830;;35-3729-7830;0;R Antonio Bortolan, 163;Bortolan;37704-397;Pocos de Caldas;MG;MKR
Ferrero Roche;FERRERO ROCHE;Varejo Outros;Matriz;;035-3729-1243;;034-3729-1243;0;Av. Ferrero,  555;Bortolan;37704-500;Poþos de Caldas;MG;MKR
Jose Garcia Neto EPP;JOSE GARCIA;Varejo Outros;Matriz;;019-3656-1679;;019-3656-1679;0;Rua Glauber Rocha  n?  81;Estancia Sao Jose;37706-017;Pocos de Caldas;MG;MKR
Sociedade Vinicula Marcon Ltda;VINICULA MARCON;Industria Outros;Matriz;;35  3731-3600;;35  3731-3119;0;R Olinto Trevisan, 60;Centro;37795-000;Andaras;MG;MKR
Dakaza Alimentos Ind e Com Ltda;DAKAZA;Industria Alimentícia;Matriz;;35-3551-5686;;35-3551-5686;0;R Sergipe, 391;Polo Industrial;37800-000;Guaxupe;MG;MKR
Perdigao Agroindustrial S/A;PERDIGAO;Industria Alimentícia;Matriz;;35-3556-1289;;35-3556-1289;0;Rod 449 MG - Km 7,88;Zona Rural;37820-000;Acerburgo;MG;MKR
Casa Goncalves Ltda;SM GONCALVES;Varejo Alimenticio;Matriz;;35-3571-1318;;;0;Av Pref Jose Batista de Souza, 153;Centro;37880-000;Cabo Verde;MG;MKR
Ind Doces e Laticinios Muzambinho Ltda;MUZAMBINHO;Industria Alimentícia;Matriz;;35-3571-1433;;35-3571-1433;0;R Luiz Campedelli, 14;Brejo Alegre;37890-000;Muzambinho;MG;MKR
Coop Agrop. do Sudoeste Mineiro Ltda;COOP SUDOESTE;Varejo Outros;Matriz;;035-3521-7000;;;0;Rua Coronel Joao de Barros, 881;Centro;37900-903;Passos;MG;MKR
Supermercado Radar;RADAR;Varejo Alimenticio;Matriz;;35-3521-9200;;;0;R Formiga, 300;Umuama;37902-316;Passos;MG;MKR
Dagranja Agroindustrial Ltda;DAGRANJA;Varejo Outros;Matriz;;035-3521-9555;;;0;Rod MG 050  S/N?  KM 351;Zona Rural;37902-538;Passos;MG;MKR
Laticinios San Marian Ltda;SAN MARIAN;Varejo Outros;Matriz;;035-3523-1760;;035-3523-1760;0;Cx Postal 01;Zona Rural;37940-000;Alpinopolis;MG;MKR
Goncalves Sales S/A Industria e Comercio;LATICINIOS AVIACAO;Industria Outros;Matriz;;35   3531-1060;;35;0;Av Venceslau Bras, 36;Mocoquinha;37950-000;Sao Sebastiao do Paraiso;MG;MKR
Frigorifico Boi Bravo Ind e Comercio Ltda;BOI BRAVO;Varejo Outros;Matriz;;034-3313-1444;;;0;Av. Contorno, 1.010;Abadia;38001-970;Uberaba;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;21;34 3321-6333;;;0;R Leopoldino de Oliveira, 4333;Centro;38010-000;Uberaba;MG;MKR
Coop Regional de Prod. Leite Vale Rio Grande;COOP VALE RIO GRANDE;Varejo Outros;Matriz;;031-3319-5032;;;0;Rod 262 KM 803;Gameleira;38037-262;Uberaba;MG;MKR
Coop Rgional Prods de Leite Vale do Rio Grande Ltd;COOP RIO GRANDE;Varejo Outros;Matriz;;031-3679-3038;;;0;Rod. 262  KM  803;Gameleira;38037-262;Uberaba;MG;MKR
Supermercados Bahamas Ltda;SM BAHAMAS;Varejo Alimenticio;Filial;19;32 3249-1051;;;5;Av Pres Juscelino Kubtschek, 445;Francisco Bernardino;38045-000;Juiz de Fora;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;33;34 3336-0300;;;0;Av Santa Beatriz da Silva, 1501;Santa Maria;38050-000;Uberaba;MG;MKR
Usina Caete S/A;USINA CAETE;Industria Alimentícia;Filial;DELTA;34-3319-6428;;34-3325-1200;0;R Jose Agostinho Filho, 750;Centro;38108-000;Delta;MG;MKR
Irmaos Bretas,Filhos e Cia Ltda;IRMAOS BRETA;Varejo Alimenticio;Matriz;;34  3219-8085;;34;0;Av Getulio Vargas, 2380;Tubalina;38142-066;Uberlandia;MG;MKR
Bunge Fertilizantes S/A;BUNGE;Varejo Outros;Filial;;034-3669-6244;;;0;Av. Arafertil, 5,000;Zona Rural;38184-270;Araxa;MG;MKR
Scalon e Cherchi Ltda;LATICINIOS ESCALA;Varejo Outros;Matriz;;34-3351-1202;;34-3351-1202;0;Rua Virgilio Melo Franco, 62;Centro;38190-000;Sacramento;MG;MKR
Coop Mista dos Prods Rurais de Frutal Ltda;COOP FRUTAL;Varejo Outros;Matriz;;034-3421-8424;;;0;R. Nossa Senhora das Dores  11;Centro;38200-000;Frutal;MG;MKR
Supermercado JB Ltda;SM JB;Varejo Alimenticio;Filial;;34-3421-8300;;34-3421-8300;4;Av Pres Juscelino K de Oliveira, 515;Progresso;38200-000;Frutal;MG;MKR
Supermercado JB Ltda;SM JB;Varejo Alimenticio;Filial;;34-3421-9867;;34-3421-9867;6;R Con Marinho, 39;Centro;38200-000;Frutal;MG;MKR
Supermercado JB Ltda;SM JB;Varejo Alimenticio;Filial;;34-3423-9310;;34-3423-0130;6;Av Campos Sales, 939;Alto Boa Vista;38200-000;Frutal;MG;MKR
Coop Rural do Triangulo Ltda;COOP TRIANGULO;Varejo Outros;Matriz;;034-3413-1010;;;0;Av. 10  n? 1.053;Centro;38260-000;Sao Francisco de Sales;MG;MKR
Industria Frigorifica Norte de Minas Ltda;NORTE DE MINAS;Industria Alimentícia;Matriz;;34-411-1200;;34-411-1200;0;Rod BR 497 Km 3;;38280-000;Iturama;MG;MKR
Coop Agrop Pontal do Triangulo  Ltda;COOP PONTAL;Varejo Outros;Matriz;;034-3268-8161;;;0;Av  7  n?  506;Progresso;38300-000;Ituiutaba;MG;MKR
Doce Mineiro Ltda;DOCE MINEIRO;Varejo Outros;Matriz;;034-3266-1688;;;0;Rod BR 153  KM  37;;38380-000;Canapoles;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;28;34-3214-5115;;34-3214-5115;0;Av Afonso Pena, 1322;Operario;38400-059;Uberlandia;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;20;34-3255-3033;;34-3255-3033;21;Av Joao Pinheiro, 77;Centro;38400-124;Uberlandia;MG;MKR
Almeida Costa e Filho Com Ltda;UBERTRIPAS;Varejo Outros;Matriz;;034-3236-2197;;;0;R. vigario dantas , 373;Fundinho;38400-202;Uberlandia;MG;MKR
Emege Prods. Alimenticos Ltda;EMEGE;Industria Alimentícia;Matriz;;34-3236-0333;;34-3236-0333;0;R Alexandre Marques, 1600;Osvaldo Resende;38400-446;Uberlandia;MG;MKR
Coop Agrop de Uberlandia Ltda;COOP UBERLANDIA;Varejo Outros;Matriz;;034-3233-6000;;;0;Rua Belem, n? 02;Bom Jesus;38400-642;Uberlandia;MG;MKR
Coop Agrop Ltda de Uberlandia;COOP UBERLANDIA;Varejo Outros;Matriz;;34-3233-6057;;;0;R Belem, 2;Bom Jesus;38400-642;Uberlandia;SP;MKR
Coop Agropecuaria Uberlandia Ltda;COOP UBERLANDIA;Varejo Outros;Matriz;;034-3233-6056;;;0;Rua Belem , 02;Bom Jesus;38400-642;Uberlandia;MG;MKR
Rezende Alimentos Ltda;REZENDE;Industria Alimentícia;Matriz;;34 3218-9300;;;0;Av. Coronel Jose Teofilo Carneiro, 1001;Sao jose;38401-344;Uberlandia;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;29;34-3237-2828;;34-3237-2828;0;Rod BR 50 - Km 76 - Ceasa;Santa Monica;38402-028;Uberlandia;MG;MKR
Chocolates Imperial Ltda;CHOCOLATES IMPERIAL;Varejo Outros;Matriz;;034-3212-2833;;034-3212-2833;0;R. Comendador Alexandre Garcia, 2.245;Martha Helena;38402-288;Uberlandia;MG;MKR
Cargill Agricola S/A;CARGILL;Industria Alimentícia;Filial;;34-3218-5395;;;0;R Will Cargil, 880;Distrito Industrial;38402-350;Uberlandia;MG;MKR
Real Distribuidora de Carnes Ltda;FRIGORIFICO REAL;Varejo Alimenticio;Matriz;;34 3216-3300;;34;0;Rod BR 50 Km 81, s/n CP 1093;Zona Rural;38406-248;Uberlandia;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;42;34 3216-9691;;;0;Av Eduardo Felice, 30;Virgilato Pereira;38408-448;Uberlandia;MG;MKR
Franco Refrigeracao Ltda;FRANCO;Representante MKR;Matriz;;34-3215-8120;;;0;R dos Tucanos, 258;Jd das Palmeiras;38412-250;Uberlandia;MG;MKR
Balas Erlan Ltda;BALAS ERLAN;Varejo Outros;Matriz;;034-3218-0700;;;0;Rod. BR 452  KM 123;PQ Industrial;38414-512;Uberlandia;MG;MKR
Frigorifico Mataboi S/A;FRIGOR?FICO MATABOI S.A;Industria da Carne;Matriz;;34-3242-2200;;34-3242-2200;0;Av Teodorico Veloso de Carvalho, 2053;Paineiras;38445-198;Araguari;MG;MKR
Pomar S/A Industrial e Comercial;POMAR;Varejo Outros;Matriz;;34-3242-1066;;34-3242-1066;0;"Rua Comendador Erich Marcus; 1.000";Bosque;38446-010;Araguari;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;37;34-3821-1999;;;0;Av Brasil, 681;Centro;38700-188;Patos de Minas;MG;MKR
Supermercado Oliveira;SM OLIVEIRA;Varejo Alimenticio;Matriz;;34-3823-2622;;;5;R Mata dos Fernandes, 1056;Vl Garcia;38703-174;Patos de Minas;MG;MKR
Coop Agrop de Patos de Minas Ltda;COOP PATOS DE MINAS;Varejo Outros;Matriz;;034-3818-8000;;;0;Av. Maraba,  1.785;Bela Vista;38703-236;Patos de Minas;MG;MKR
Coop Central Mineira de Laticinios Ltda;CEMIL;Varejo Outros;Matriz;;034-3822-5009;;;0;Av. Das Industrias, 1,090;Distrito Industrial    II;38706-730;Patos de Minas;MG;MKR
Laticinios Guimarania Industria e Comercio Ltda;GUIMARANIA;Varejo Outros;Matriz;;034-3834-1274;;034-3834-1274;0;Rua Guimaraes,  175;Centro;38730-000;Guimarania;MG;MKR
Supermercado Bernardao Ltda;SM BERNARDAO;Varejo Alimenticio;Matriz;;34-3831-1672;;;10;Av Faria Pereira, 2074;Centro;38740-000;Patrocinio;MG;MKR
Frigorifico Serra Negra Ltda;SERRA NEGRA;Varejo Outros;Matriz;;034-3836-1219;;;0;Av. Boanerges Ferreira Marra, 1.000;Distr Salitre de Minas;38743-000;Patrocinio;MG;MKR
Laticinios Noroeste Ltda;LATICINIOS NOROESTE;Varejo Outros;Matriz;;34-3561-2370;;;0;Rua Wilson de Oliveira, 37 A;Centro;38770-000;Joao Pinheiro;MG;MKR
Laticinios Trolez;LATICINIOS TROLEZ;Varejo Outros;Matriz;;34-3856-1220;;34-3856-1220;0;Rua Sinfronio Augusto de Souza, 150;Centro;38860-000;Arapuß;MG;MKR
Laticinios Tirolez Ltda;LATICINIOS TIROLEZ;Varejo Outros;Matriz;;34-3853-1053;;34-3853-1053;0;Av. Sao Vicente, 456;Centro;38880-000;Tiros;MG;MKR
Coop Dos Produtores Rurais Do Serro Ltda;COOP DO SERRO;Varejo Outros;Matriz;;038-3541-1001;;;0;Praþa Angelo Miranda, 26;Centro;39150-000;Serro;MG;MKR
Industria Alimenticia Montes Claros Ltda;ALIMENTOS MONTES CLAROS;Varejo Outros;Matriz;;038-3222-5474;;038-3222-5474;0;R. Doutor Santos, 152,  Sala 01;Centro;39400-001;Montes Claro;MG;MKR
Cerealista Arthur Bernardes;SUPER SANTOS;Varejo Alimenticio;Matriz;;38-222-5100;;38 3221-9039;0;Av Arthur Bernardes, 21;;39400-018;Montes Claros;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;18;38-3221-9255;;38-3221-9255;16;Av Arthur Bernardes, 219;Centro;39400-018;Montes Claros;MG;MKR
Cema Central Mineira Atacadista Ltda;VILLEFORT ATACADISTA;Atacado Alimentos;Filial;004;31   3357 -4000;;;0;Av Dulce Sarmento, 1300;Vl Nazareth;39400-318;Montes Claros;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;08;38 3221-5430;;;0;R Mestre Janjao, 300;Sao Jose;39400-353;Montes Claros;MG;MKR
Irmaos Bretas, Filhos e Cia Ltda;SM BRETAS;Varejo Alimenticio;Filial;15;38 3214-2030;;;0;Pca Pres Tancredo Neves, 120;Canelas;39400-478;Montes Claros;MG;MKR
Novo Nordisk Prod. Farmaceuticos do Bbrasil Ltda;NORDISK;Varejo Outros;Matriz;;38-3229-6289;;38-3229-6289;0;Avenida   C  N? 1.413;Distrito Industrial;39404-004;Montes Claros;MG;MKR
Coteminas;COTEMINAS;Varejo Outros;Matriz;;038-3229-5159;;;0;Av. Lincoln Alves dos Santos, 955;Distrito Industrial;39404-005;Montes Claros;MG;MKR
Bestpulp do Brasil Ltda;BESPULP;Industria Alimentícia;Matriz;;38-3821-7060;;38-3821-8660;0;R Reinaldo Vana, 2715;Pico da Pedra;39440-000;Janauva;MG;MKR
Coop Prods Rurais de Francisco Sß Ltda;COOP FRANCISCO S?;Varejo Outros;Matriz;;038-3233-1327;;;0;Av. Juscelino Kubitscheck,  s/n;Joao Gonþalves;39580-000;Francisco Sß;MG;MKR
Coop. dos Prod. Rurais de Francisco de Sa Ltda;COOP FRANCISCO DE SA;Varejo Outros;Matriz;;038-3233-1327;;038-3233-1327;0;Av. Juscelino Kubitscheck,  S/N;Joao Gonþalves;39580-000;Francisco de Sß;MG;MKR
Araujo Hipermercados S/A;ARAUJO HIPERMERCADO;Varejo Alimenticio;Filial;03;33-3523-4657;;33-3523-4657;22;Av Sidonio Otoni, 685;Novo Horizonte;39800-000;Teofilo Otoni;MG;MKR
Simoes Supermercado e Padaria Ltda;SIMOES;Varejo Alimenticio;Matriz;;33-522-4454;;;0;R Eng Argolo, 195;;39800-000;Teofilo Otoni;MG;MKR
Araujo Hipermercados S/A;ARAUJO HIPERMERCADOS;Varejo Alimenticio;Filial;08;33-3522-6174;;33-3522-6174;12;Av Luiz Boaly Porto Salman, 545;Centro;39800-087;Teofilo Otoni;MG;MKR
Araujo Hipermercados S/A;ARAUJO HIPERMERCADOS;Varejo Alimenticio;Filial;10;33-3522-6221;;33-3522-6221;7;Av Francisco Sa, 359;Centro;39800-127;Teofilo Otoni;MG;MKR
Laticinios Suaþui Industria e Comercio Ltda;LATICINIOS SUAÃUI;Varejo Outros;Matriz;;33-3526-1564;;33-3526-1564;0;Rua Grao Mogol, 338;Cidade Nova;39850-000;AtalÚia;MG;MKR
Frisa Frigorifico Rio Doce S/A;FRISA FRIGORIFICO;Industria da Carne;Filial;;33-3621-9100;;27-3723-3214;0;Av Mucori, 2000;Laticinios;39860-000;Nanuque;MG;MKR
Bunge Alimentos S/A;BUNGE ALIMENTOS;Industria Alimentícia;Filial;Salvador;71-319-3600;;71-319-3630;0;Av Estados Unidos, 863;Comercio;40010-020;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Shopping Piedade;71  328-1324;;71   328-1206;0;R Junqueira Ayres, 16;Piedade;40070-080;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Jd Brasil;71  264-5397;;71   264-5397;0;R Marques de Caravelas, 407;Jd Brasil;40140-241;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Chame Chame;71  247-7317;;71   245-1307;0;R Augusto F Schimidt, s/n;Chame Chame;40155-150;Salvador;BA;MKR
Cia Brasileira de Distribuicao;EXTRA - VASCO DA GAMA;Varejo Alimenticio;Filial;1353;71 3330-3800;;71 3334-1833;0;Av Vasco da Gama, 828/ R Waldemar Falcao;Federacao;40230-731;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Brotas;71  359-4114;;71;0;R Campinas de Brotas, 60;Brotas;40275-160;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Bonfim;71   314-8947;;71   314-8946;0;R da Imperatriz, 85;Bonfim;40415-180;Salvador;BA;MKR
J Macedo Alimentos Nordeste S/A;J MACEDO;Industria Alimentícia;Matriz;;71-2107-6600;;71-2107-6633;0;R Estado de Israel, 215;Comercio;40460-620;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Pau da Lima;71   393-2514;;71    393-1536;0;R Pq Rural Ascencao, s/n;Pau da Lima;41200-000;Salvador;BA;MKR
Chocolates Duffy Ltda;CHOCOLATES DUFFY;Industria Alimentícia;Matriz;;71-392-2868;;71-392-2868;0;R AJ Qd U Lt 1a 5;Piraja;41290-000;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Itapua;71  375-2111;;71   375-3859;0;R Otavio Mangabeira, 100;Itapoa;41610-160;Salvador;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Boca do Rio;71  371-6629;;71   371-1129;0;R Guilherme Marback, s/n;Boca do Rio;41710-050;Salvador;BA;MKR
Dismel Comercio e Servico Ltda;DISMEL;Varejo Outros;Filial;;071 379-8444;;071 379-8400;0;Loteamento Varandas Tropicais, km 4,5 Estrada do Coco;Vl do Atlantico;42700-000;Lauro de Freitas;BA;MKR
Plasticos Novel do Nordeste S/A;NOVEL;Industria Outros;Matriz;;71-369-8134;;;0;Estr Aeroporto/Arambepe, Km 6 - BA 099;;42700-000;Lauro de Freitas;BA;MKR
DTS DiaMed Transfusion Systems;DIAMED;Industria Outros;Matriz;;71-2103-3502;;;0;R das Transportadoras, 15009 CIA/Sul BR 324 Km;;43700-000;Simoes Filho;BA;MKR
Frimasa;FRIMASA;Industria Alimentícia;Matriz;;71-491-0110;;;0;BR 324 Km 15,5;Cia;43700-000;Simoes Filho;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;17;75-623-6650;;75-623-6886;33;R Mal Deodoro, 245;Centro;44010-250;Feira de Santana;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;15;75 623-9707;;;0;R Vasco Filho, s/n;Centro;44025-290;Feira de Santana;BA;MKR
Supermercado Rio Branco ltda;RIO BRANCO;Atacado Alimentos;Matriz;;75-3631-8313;;;0;"Praþa Rio Branco;19";Centro;44570-000;Santo Antonio de Jesus;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Candeias;77  423-8300;;77   423-8322;0;Av Rosa Cruz, 80;Candeias;45000-000;Vitoria da Conquista;BA;MKR
Cooper Leite;COOPER LEITE;Industria Outros;Matriz;;77-424-2285;;;0;Distr Indl dos Imbares  Qdr Q3 Lte 1,2,3 CP85;;45100-000;Vitoria da Conquista;BA;MKR
Supermercado Cardoso;SM CARDOSO;Varejo Alimenticio;Filial;Loja 2;73-525-4851;;;0;R Francisco Alves Meira, 167;Centro;45200-090;Jequie;BA;MKR
Supermercado Cardoso Ltda;SM CARDOSO;Varejo Alimenticio;Filial;Loja 1;73-525-1193;;;0;Pca da Bandeira, 228;Centro;45200-310;Jequie;BA;MKR
Prods. Alimenticios Gameleira Ltda;GAMELEIRA;Industria Alimentícia;Matriz;;73-525-6161;;73-527-8203;0;Distr Indl de Jequie - Qd G - Lt 7/8;Mandacaru;45208-000;Jequie;BA;MKR
BomPreco S/A Supermercado do Nordeste;HIPER BOMPRECO;Varejo Alimenticio;Filial;Goes Calmon;73 3214-4200;;73;0;R Aviz Maron, s/n;Goes Calmon;45600-000;Itabuna;BA;MKR
Bunge Alimentos S/A;BUNGE ALIMENTOS;Industria Alimentícia;Matriz;Ilheus;73-634-4520;;;0;R do Moinho, 1;Porto Malhado;45660-000;Ilheus;BA;MKR
LP Agroindustrial de Alimentos Ltda;LP;Industria Alimentícia;Matriz;;73-294-1120;;73-294-1120;0;R Pres Medice, 387;Centro;45836-000;Itamaraju;BA;MKR
Costa Azul Pescados;PESCADOS COSTA AZUL;Varejo Outros;Matriz;;073-3208-1107;;;0;Estrada do Barreiro,  618;Centro;45920-000;Nova Viþosa;BA;MKR
Panificio Laura Ltda;LAURA;Industria Alimentícia;Matriz;;4606-8648;;4606-8640;0;R Sao Bernardo do Campo, 520;Setor Industrial;46068-655;Varzea Paulista;SP;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;38;75-421-4337;;75-422-1256;15;Pca da Bandeira, 1;Centro;48005-170;Alagoinhas;BA;MKR
Supermercado Super Medeiros Ltda;SUPER MEDEIROS;Varejo Alimenticio;Matriz;;75 3422-1420;;75 3422-1225;0;Av Sen Lourival Batista, s/n;Centro;48005-450;Alagoinhas;BA;MKR
H D Com de Prod de Informatica Ltda;INKBOX;Varejo Outros;Matriz;;75 3421-0327;;75 3421-0327;0;R Rodrigues Lima, 20 Ed Vitoria Sl 203;Centro;48010-040;Alagoinhas;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;37;75 421-5368;;75 422-3207;0;R Dr Dantas Biao, s/n;Centro;48030-030;Alagoinhas;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;39;75-422-2904;;75-422-2904;7;R Pe Alfredo, 86;Centro;48050-010;Alagoinhas;BA;MKR
Marriott do Brasil Ltda;HOTEL MARRIOTT;Varejo Outros;Matriz;;71-2104-7229;;;0;Rod BA 99, s/n;Mata de Sao Joao;48280-000;Costa do Saiupe;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;18;75 427-1420;;;0;Pca Ladislau Cavalcante, 18;Centro;48370-000;Esplanada;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;32;75-276-1527;;75-276-1527;9;Av Evencia Brito, n? 134;Centro;48400-000;Ribeira do Pombal;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;36;75-281-2411;;71 450-8627;25;Av Apolonio Sales, 557;Centro;48600-000;Paulo Afonso;BA;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;08;79-214-4788;;79-214-4788;16;R Jose do Prado Franco, 148;Centro;49010-110;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;09;79 214-4277;;;0;R Goncalo Prado Rolemberg, 142;Sao Jose;49010-410;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;19;79-213-1095;;79-211-3600;21;Av Coelho e Campos, 215;Centro;49010-720;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;20;79 246-5000;;79 246-5327;0;Av Francisco Porto, 250;Salgado Filho;49020-120;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;26;79-248-1843;;79-428-1843;12;Av Heraclito Rollemberg, 2676;Augusto Franco;49030-640;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;12;79-243-1803;;79-243-1803;14;R Luiz Chagas, 55;Atalaia;49037-430;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;33;79-251-3137;;79-251-3137;11;Av Francisco J da Fonseca, 1337;Sao Conrado;49042-000;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;30;79-259-5779;;79-259-5506;18;Av Augusto Franco, 3280;Ponto Novo;49047-040;Aracaju;SE;MKR
Hiper Santos Com Frut Hort Cer e Transp;HIPER SANTOS;Varejo Alimenticio;Matriz;;79-249-1676;;;0;R Quirino, 260;Barbosa;49050-370;Aracaju;SE;MKR
Pisolar Ltda;PISOLAR;Varejo Alimenticio;Matriz;;79-3211-1991;79-3224-1001;;0;Av Goncalo Rolemberg Leite, 2112;;49050-370;Aracaju;SE;MKR
Supermercado Prado Vasconcelos Ltda;SM PRADO VASCONCELOS;Varejo Alimenticio;Filial;03;79-215-1850;;79-544-1324;12;Av. Pereira;Centro;49050-660;Araguai;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;21;79-215-1030;;79-215-1030;15;R Muribeca, 310;Santo Antonio;49060-470;Aracaju;SE;MKR
Faria Souto Comercio Ltda;FASOUTO;Varejo Outros;Matriz;;79-3215-5454;;79-215-4182;0;Av Simeao Sobral, 440;Industrial;49065-770;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;05;79 214-2300;;;0;R Carlos Correia, 453;Sao Campos;49075-160;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;34;79-241-1111;;79-241-1111;24;Av Osvaldo Aranha, 1240;Jose Conrado Araujo;49085-410;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;22;79-245-3121;;79-245-3121;14;R Maj Aureliano, 305;Santos Dumont;49087-000;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;24;79 252- 2010;;;0;Av Poco do Mero, 285;Bugio;49090-010;Aracaju;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;25;79 257-1215;;;8;Av Marginal, s/n;Eduardo Gomes;49100-000;Sao Cristovao;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;13;79-32541259;;79-3254-1259;0;Av 1, 13 Cj Joao Alves;Joao Alves;49160-000;Nsa Sra do Socorro;SE;MKR
G Barbosa Comercial Ltda;G BARBOSA;Varejo Alimenticio;Filial;11;79-522-1032;;79-522-2838;22;Pca da Bandeira, 108;Centro;49200-000;Estancia;SE;MKR
Supermercado Prado Vasconcelos Ltda;SM PRADO VASCONCELOS;Varejo Alimenticio;Matriz;;79-5421-2000;;;8;Pca Cel Joao Neto, 20;Centro;49220-000;Araua;SE;MKR
